City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Ahipara,NZ,-35.1667,173.1667,56.03,83,100,4.36,light rain
164,Salalah,OM,17.0151,54.0924,78.64,88,100,17.29,light rain
165,Saldanha,ZA,-33.0117,17.9442,60.85,86,78,13.22,light rain
166,Khasan,RU,42.4308,130.6434,65.32,98,100,2.98,overcast clouds
167,Gat,IL,31.61,34.7642,88.39,17,0,14.79,clear sky
168,Cochabamba,BO,-17.3895,-66.1568,63.81,47,65,3.44,broken clouds
169,Dikson,RU,73.5069,80.5464,37.47,93,100,8.16,overcast clouds
170,Khatanga,RU,71.9667,102.5,55.49,44,77,9.57,broken clouds
171,Kapaa,US,22.0752,-159.319,75.52,91,100,12.66,light rain
172,Marawi,PH,7.9986,124.2928,70.18,90,97,3.36,overcast clouds
173,Muleba,TZ,-1.8397,31.6544,74.44,42,8,7.63,clear sky
174,Loiza,PR,18.4313,-65.8802,86.63,84,100,13.15,overcast clouds
175,Katherine,AU,-14.4667,132.2667,57.52,58,6,4.61,clear sky
176,Hambantota,LK,6.1241,81.1185,84.54,74,40,8.05,scattered clouds
177,San Quintin,MX,30.4833,-115.95,67.03,86,30,10.22,scattered clouds
178,Kilimatinde,TZ,-5.85,34.95,79.79,29,20,6.29,few clouds
179,Waingapu,ID,-9.6567,120.2641,75.88,83,86,9.95,overcast clouds
180,Abnub,EG,27.2696,31.1511,106.02,13,4,13.71,clear sky
181,Georgetown,MY,5.4112,100.3354,87.89,81,20,3.44,few clouds
182,Hualmay,PE,-11.0964,-77.6139,63.59,79,52,8.97,broken clouds
183,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,100,100,5.75,fog
184,Flinders,AU,-34.5833,150.8552,53.19,89,76,1.99,light rain
185,Victor Harbor,AU,-35.5667,138.6167,47.68,62,2,14.61,clear sky
186,Lemery,PH,11.2258,122.9275,77.49,92,98,5.32,overcast clouds
187,Ribeira Grande,PT,38.5167,-28.7,70.2,64,75,5.75,broken clouds
188,Heide,DE,54.2,9.1,67.1,54,98,17.22,overcast clouds
189,Port Lincoln,AU,-34.7333,135.8667,55.33,52,98,18.28,light rain
190,Yuzhnouralsk,RU,54.4418,61.2536,76.82,63,80,3.62,broken clouds
191,Monrovia,LR,6.3005,-10.7969,76.77,76,100,14.29,overcast clouds
192,Sorland,NO,67.667,12.6934,58.86,67,20,8.05,few clouds
193,Dakar,SN,14.6937,-17.4441,88.68,82,20,10.76,few clouds
194,Botwood,CA,49.1499,-55.3482,61.9,58,61,15.84,broken clouds
195,Tura,IN,25.5198,90.2201,78.01,86,74,3.18,broken clouds
196,Yakima,US,46.4665,-120.6678,63.7,66,0,3.44,clear sky
197,Port Elizabeth,ZA,-33.918,25.5701,59.29,92,20,6.91,moderate rain
