City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Finschhafen,PG,2022-07-07 00:23:07,-6.6024,147.8681,84.52,67,100,9.53
222,Ulaanbaatar,MN,2022-07-07 00:24:08,47.9077,106.8832,57.33,82,40,4.47
223,Moose Factory,CA,2022-07-07 00:24:08,51.2585,-80.6094,68.0,56,75,9.22
224,East London,ZA,2022-07-07 00:24:08,-33.0153,27.9116,59.49,80,4,10.09
225,Mujiayingzi,CN,2022-07-07 00:24:09,42.1167,118.7833,73.87,53,0,4.03
226,Regina,CA,2022-07-07 00:20:50,50.4501,-104.6178,78.78,47,6,6.91
227,Namibe,AO,2022-07-07 00:24:09,-15.1961,12.1522,65.25,85,36,2.66
228,Ambon,ID,2022-07-07 00:24:09,-3.6954,128.1814,81.23,13,40,6.91
229,Dumas,US,2022-07-07 00:24:10,35.8656,-101.9732,75.34,64,75,5.75
230,Harwich,GB,2022-07-07 00:24:10,51.9419,1.2844,64.51,77,62,7.0
231,Morondava,MG,2022-07-07 00:24:10,-20.2833,44.2833,66.58,79,0,9.95
232,Longyearbyen,SJ,2022-07-07 00:22:27,78.2186,15.6401,40.84,65,20,11.5
233,Souillac,MU,2022-07-07 00:24:10,-20.5167,57.5167,70.18,60,75,11.5
234,Winnemucca,US,2022-07-07 00:23:15,40.973,-117.7357,91.45,15,0,10.36
235,Taoudenni,ML,2022-07-07 00:24:11,22.6783,-3.9836,100.27,12,13,8.97
236,Pangkalanbuun,ID,2022-07-07 00:24:11,-2.6833,111.6167,76.5,89,68,1.21
237,Valverde Del Camino,ES,2022-07-07 00:24:11,37.5751,-6.7543,75.04,37,0,5.7
238,Rassvet,RU,2022-07-07 00:24:11,46.8333,40.75,68.23,44,0,8.95
239,Leh,IN,2022-07-07 00:24:12,34.1667,77.5833,62.42,63,85,5.59
240,Yashan,CN,2022-07-07 00:24:12,22.1975,109.9419,76.73,97,100,3.38
241,Yoichi,JP,2022-07-07 00:24:12,43.2039,140.7703,72.84,79,8,2.71
242,Acari,PE,2022-07-07 00:24:13,-15.4311,-74.6158,62.6,80,31,3.67
243,Arraial Do Cabo,BR,2022-07-07 00:24:13,-22.9661,-42.0278,70.83,83,0,24.65
