City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Katsuura,JP,74.91,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
243,Mazagao,BR,84.25,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
244,Texarkana,US,81.39,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
247,Manggar,ID,81.07,overcast clouds,-2.8833,108.2667,Guest Hotel
250,George Town,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
253,Harper,LR,79.12,broken clouds,4.375,-7.7169,Screensaver
254,Faanui,PF,78.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Bekwai,GH,80.28,light rain,6.4534,-1.5774,Annex Plaza Hotel
261,Sylva,RU,83.57,overcast clouds,58.0348,56.7635,"Baza Otdykha Mup ""Permgorelektrotrans"""
262,Leh,IN,72.23,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
263,Muscat,OM,87.82,overcast clouds,23.6139,58.5922,Mutrah Hotel
264,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
265,Qostanay,KZ,86.29,clear sky,53.1667,63.5833,Hotel Fessla
266,Rocha,UY,70.45,clear sky,-34.4833,-54.3333,Hotel Arrarte
268,San Rafael Del Sur,NI,76.17,broken clouds,11.8485,-86.4384,Hospedaje El Chino
270,Abha,SA,80.85,broken clouds,18.2164,42.5053,Abha Hotel
271,Rameswaram,IN,85.66,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
275,Faya,SA,81.12,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
281,Aurangabad,IN,72.64,light rain,19.8833,75.3333,Vivanta Aurangabad
283,Anloga,GH,79.77,broken clouds,5.7947,0.8973,Pin Drop Hotel
284,Cockburn Town,TC,81.77,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
287,Cabaiguan,CU,80.49,few clouds,22.0789,-79.4992,Hostal Dumar y Ania
290,Fergus Falls,US,74.16,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
292,Mlowo,TZ,73.11,scattered clouds,-9.0,32.9833,Mchacho Drinks & Guest house
296,Mayumba,GA,74.3,overcast clouds,-3.432,10.6554,LIKWALE LODGE
297,Marang,MY,82.31,overcast clouds,5.2056,103.2059,DBarakah Homestay
299,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
307,Buala,SB,79.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
309,Jalingo,NG,84.24,overcast clouds,8.8833,11.3667,Debright Motel
310,Weligama,LK,79.97,overcast clouds,5.9667,80.4167,Weligama Bay Resort
311,San-Pedro,CI,79.75,broken clouds,4.7485,-6.6363,Hotel Maria
314,Santana,BR,84.38,scattered clouds,-0.0583,-51.1817,Porto Santana
315,Ngaoundere,CM,73.27,moderate rain,7.3167,13.5833,Hotel Mentong Palace
316,Sibolga,ID,76.69,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
318,Meulaboh,ID,78.71,overcast clouds,4.1363,96.1285,Kost Pria
320,Moa,CU,85.39,overcast clouds,20.6569,-74.9403,Carmen
322,Kalmunai,LK,86.07,overcast clouds,7.4167,81.8167,VS Villa
324,Mahibadhoo,MV,82.27,overcast clouds,3.7833,72.9667,Omadhoo Inn
325,Buluang,PH,79.38,moderate rain,13.3068,123.3425,Sacueza Beach Resort
326,Mezen,RU,75.99,scattered clouds,65.8522,44.24,Gostevoy Dom Everest
327,Benguela,AO,73.18,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
328,Rwamagana,RW,76.44,overcast clouds,-1.9487,30.4347,Avega East Hostel
329,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
330,Labrea,BR,87.85,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
332,Joshimath,IN,71.82,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
333,Pinega,RU,79.75,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
336,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
338,Saurimo,AO,86.32,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
340,Namibe,AO,72.23,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
341,Puerto Escondido,MX,76.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
344,Humberto De Campos,BR,86.63,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
345,Bengkulu,ID,76.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
348,Marfino,RU,84.34,clear sky,55.7028,37.3822,Nemchinovka-Park
351,San Matias,BO,89.2,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
352,Acarau,BR,84.51,few clouds,-2.8856,-40.12,castelo pizzaria
354,Caravelas,BR,77.5,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
355,Mutis,CO,79.9,moderate rain,6.2262,-77.4044,Paraiso Escondido
357,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
358,Murud,IN,79.74,overcast clouds,18.3258,72.965,On Point Plaza
359,Kudahuvadhoo,MV,82.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
362,Portobelo,PA,79.11,overcast clouds,9.55,-79.65,Scuba Portobelo
367,Fort-Shevchenko,KZ,86.18,clear sky,44.5086,50.263,Oasis hotel Bautino
368,Kargasok,RU,74.93,clear sky,59.0556,80.8572,Hotel Kargasok
372,Fare,PF,78.03,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
373,Taman,RU,78.39,broken clouds,45.2117,36.7161,Staryy Gorod G. Taman'
374,Naifaru,MV,81.99,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
375,Laguna,US,70.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
376,Tavda,RU,71.69,overcast clouds,58.0425,65.2726,The hotel is number 1
377,Linfen,CN,84.11,broken clouds,36.0889,111.5189,Suoxing Hotel
378,Voi,KE,77.4,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
379,Lotofaga,WS,71.38,overcast clouds,-13.9764,-171.8578,Sataoa Beach Fales
380,Rubtsovsk,RU,76.32,scattered clouds,51.5,81.25,Запросто
384,Puerto Leguizamo,CO,70.83,overcast clouds,-0.1934,-74.7819,la casona de juancho
389,Pangai,TO,77.34,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
390,Zheleznodorozhnyy,RU,85.55,overcast clouds,55.7503,38.0042,Hotel Dali
391,Kupang,ID,76.1,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
392,Ugoofaaru,MV,82.09,light rain,5.6667,73.0,Ungoofaaru Inn
394,Bandarbeyla,SO,78.44,broken clouds,9.4942,50.8122,JABIR HOTEL
395,Nisia Floresta,BR,83.21,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
400,Ubinskoye,RU,72.79,broken clouds,55.3068,79.6802,Gostinitsa Siberia
402,Kondopoga,RU,73.08,overcast clouds,62.2057,34.2614,Karelia Hotel
406,Ulaanbaatar,MN,71.73,moderate rain,47.9077,106.8832,The Blue Sky Hotel and Tower
409,Petatlan,MX,77.2,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
411,Linda,US,74.57,clear sky,39.1277,-121.5508,Comfort Suites Marysville-Yuba City
413,Salta,AR,82.99,clear sky,-24.7859,-65.4117,Hotel Alejandro I
415,Srandakan,ID,75.97,scattered clouds,-7.9386,110.2506,Puri Brata
418,Tucurui,BR,86.29,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
424,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
425,Tuy Hoa,VN,79.03,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
426,Ishigaki,JP,84.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
427,Lakatoro,VU,79.27,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
431,Khani,GE,74.77,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
432,Jaru,BR,88.9,clear sky,-10.4389,-62.4664,Hotel Paraná
433,Manokwari,ID,76.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
435,Jacqueville,CI,78.31,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
437,Shemonaikha,KZ,71.17,broken clouds,50.6328,81.9056,Perekrestok
440,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
